Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-07-01 00:00:00-04:00,202.4184614741753,203.336787644083,199.13023361288694,200.42379760742188,1243900,0.0,0.0
2024-07-02 00:00:00-04:00,199.01173285129977,201.38163459170445,198.53775853016765,201.1051483154297,1752500,0.0,0.0
2024-07-03 00:00:00-04:00,200.56205497774005,201.58900190306647,199.37711158163333,201.13478088378906,523100,0.0,0.0
2024-07-05 00:00:00-04:00,200.621295638005,200.81878368861092,197.88604018162695,199.3376007080078,579900,0.0,0.0
2024-07-08 00:00:00-04:00,200.32505940649042,204.40325477008076,200.1473246781597,201.66799926757812,852300,0.0,0.0
2024-07-09 00:00:00-04:00,201.2038769813649,203.61327021011505,200.28555082816519,200.59165954589844,936200,0.0,0.0
2024-07-10 00:00:00-04:00,201.2730156770195,204.85748323882405,201.16439499128685,204.5908660888672,1129400,0.0,0.0
2024-07-11 00:00:00-04:00,203.82065130522037,207.40510378462054,203.27754787883487,206.3287811279297,1470500,0.0,0.0
2024-07-12 00:00:00-04:00,207.0002684092005,210.1502533646759,206.85214106730209,208.945556640625,1326100,0.0,0.0
2024-07-15 00:00:00-04:00,209.66637687527975,211.65115652089395,209.3405148318437,210.7229461669922,1221200,0.0,0.0
2024-07-16 00:00:00-04:00,212.0066584616025,215.225772512773,211.77954795229144,215.05789184570312,1319800,0.0,0.0
2024-07-17 00:00:00-04:00,216.11447039053485,219.11632791219793,215.7491167463099,218.03013610839844,1296200,0.0,0.0
2024-07-18 00:00:00-04:00,217.8030344051566,221.94045967690403,217.0426895646162,217.83265686035156,1197900,0.0,0.0
2024-07-19 00:00:00-04:00,211.64129463128688,212.55962082089383,200.4040485820507,200.92739868164062,2819800,0.0,0.0
2024-07-22 00:00:00-04:00,200.66079560679893,203.2183011853092,200.66079560679893,202.8430633544922,1283600,0.0,0.0
2024-07-23 00:00:00-04:00,202.96155054541182,206.20041770862076,202.66532601687993,205.91404724121094,1536500,0.0,0.0
2024-07-24 00:00:00-04:00,206.69414984490808,207.24712240003262,203.3565461219995,205.12408447265625,1276500,0.0,0.0
2024-07-25 00:00:00-04:00,205.64743752921984,209.2713967104718,205.12408742007327,206.6052703857422,1239700,0.0,0.0
2024-07-26 00:00:00-04:00,208.05683455780868,212.27327302645648,207.72110336251993,211.16732788085938,1220500,0.0,0.0
2024-07-29 00:00:00-04:00,211.31543647713042,212.3621366956301,209.87374509395104,211.24630737304688,906600,0.0,0.0
2024-07-30 00:00:00-04:00,212.30288613469503,218.60285567039057,212.30288613469503,217.65489196777344,1128500,0.0,0.0
2024-07-31 00:00:00-04:00,217.24016138051573,218.1288651046691,213.6260714431979,213.72482299804688,1425400,0.0,0.0
2024-08-01 00:00:00-04:00,215.48248977317124,216.2033278998964,208.2049492700828,209.389892578125,1593400,0.0,0.0
